,cr,nonCr
Epidendrum_campestre,1,0
Cattleya_brevipedunculata,1,0
Cattleya_blumenscheinii,1,0
Cattleya_bradei,1,0
Cattleya_briegeri,1,0
Cattleya_caulescens,1,0
Cattleya_cinnabarina,1,0
Cattleya_conceicionensis,1,0
Cattleya_diamantinensis,1,0
Cattleya_esalqueana,1,0
Cattleya_flavasulina,1,0
Cattleya_fournieri,1,0
Cattleya_ghillanyi,1,0
Cattleya_gracilis,1,0
Cattleya_itambana,1,0
Cattleya_kettieana,1,0
Cattleya_kleberi,1,0
Cattleya_liliputana,1,0
Cattleya_longipes,1,0
Cattleya_luetzelburgii,1,0
Cattleya_milleri,1,0
Cattleya_mirandae,1,0
Cattleya_pabstii,1,0
Cattleya_pfisteri,1,0
Cattleya_reginae,1,0
Cattleya_rupestris,1,0
Cattleya_sanguiloba,1,0
Cattleya_teretecaulis,1,0
Cattleya_vandenbergii,1,0
Cattleya_verboonenii,1,0
Cattleya_viridiflora,1,0
Epidendrum_armeniacum,0,1
Epidendrum_centropetalum,0,1
Epidendrum_ibaguense,0,1
Epidendrum_magnoliae,0,1
Epidendrum_pseudepidendrum,0,1
Epidendrum_schlechterianum,0,1
Epidendrum_tridactylum,0,1
Myrmecophila_tibicinis,0,1
Orleanesia_amazonica,0,1
Barkeria_skinneri,0,1
Barkeria_whartoniana,0,1
Brassavola_cucullata,0,1
Brassavola_martiana,0,1
Brassavola_nodosa,0,1
Cattleya_dowiana,0,1
Cattleya_labiata,0,1
Cattleya_mooreana,0,1
Cattleya_aclandiae,0,1
Cattleya_forbesii,0,1
Cattleya_intermedia,0,1
Cattleya_violacea,0,1
Cattleya_walkeriana,0,1
Cattleya_fidelensis,0,1
Cattleya_purpurata,0,1
Caularthron_bilamellatum,0,1
Cattleya_alaorii,0,1
Laelia_anceps,0,1
Laelia_autumnalis,0,1
Laelia_furfuracea,0,1
Laelia_lyonsii,0,1
Laelia_rubescens,0,1
Laelia_speciosa,0,1
Laelia_splendida,0,1
Laelia_undulata,0,1
Cattleya_cernua,0,1
Cattleya_coccinea,0,1
Cattleya_harpophylla,0,1
Cattleya_neokautskyi,0,1
Cattleya_lueddemanniana,0,1
Cattleya_wallisii,0,1
Cattleya_alvaroana,0,1
Cattleya_angereri,0,1
Cattleya_brevicaulis,0,1
Cattleya_colnagoi,0,1
Cattleya_endsfeldzii,0,1
Cattleya_gloedeniana,0,1
Cattleya_hoehnei,0,1
Cattleya_kautskyana,0,1
Cattleya_sp,0,1
Guarianthe_aurantiaca,0,1
Guarianthe_bowringiana,0,1
Guarianthe_skinneri,0,1
Rhyncholaelia_digbyana,0,1
Rhyncholaelia_glauca,0,1
Cattleya_araguaiensis,0,1
Cattleya_lawrenceana,0,1
Cattleya_maxima,0,1
Meiracyllium_gemma,0,1
Meiracyllium_trinasutum,0,1
Epidendrum_avicula,1,1
Brassavola_tuberculata,1,1
Cattleya_pumila,1,1