hpd_name,cleaned_name,accepted_name,clade,sampling_fraction,trnD,Reference,campo_rupestre,non_campo_rupestre
Anadenanthera_colubrina_CEH2308,Anadenanthera_colubrina,Anadenanthera colubrina (Vell.) Brenan,(outgroup),(outgroup),FJ981975,Simon et al. (2009),(outgroup),(outgroup)
Microlobius_foetidus_CEH2150,Microlobius_foetidus,Microlobius foetidus (Jacq.) M.Sousa & G.Andrade,(outgroup),(outgroup),FJ981976,Simon et al. (2009),(outgroup),(outgroup)
Mimosa_acantholoba_acantholoba_RJE118,Mimosa_acantholoba_acantholoba,Mimosa acantholoba (Willd.) Poir.,B,0.75,FJ981977,Simon et al. (2009),0,1
Mimosa_acantholoba_eurycarpa_SAMA28,Mimosa_acantholoba_eurycarpa,Mimosa acantholoba (Willd.) Poir.,B,0.75,FJ981978,Simon et al. (2009),0,1
Mimosa_acapulcensis_ROR2,Mimosa_acapulcensis,Mimosa acapulcensis Robinson,V,0.92,FJ981979,Simon et al. (2009),0,1
Mimosa_accedens_LMB1005,Mimosa_accedens,Mimosa accedens Barneby,O,1,MT459465,Vasconcelos et al. (2020),1,0
Mimosa_acroconica_LMB651,x,(double entry),(double entry),(double entry),MT459466,Vasconcelos et al. (2020),(double entry),(double entry)
Mimosa_acroconica_LMB662,Mimosa_acroconica,Mimosa acroconica Barneby,O,1,MT459467,Vasconcelos et al. (2020),1,0
Mimosa_aculeaticarpa_MFS808,Mimosa_aculeaticarpa,Mimosa aculeaticarpa Ortega,B,0.75,FJ981980,Simon et al. (2009),0,1
Mimosa_acutistipula_acutistipula_JSS878,Mimosa_acutistipula_acutistipula,Mimosa acutistipula Benth.,D,0.58,MT459468,Vasconcelos et al. (2020),0,1
Mimosa_acutistipula_acutistipula_MFS705,x,(double entry),(double entry),(double entry),FJ981981,Simon et al. (2009),(double entry),(double entry)
Mimosa_adamantina_adamantina_VFD459,Mimosa_adamantina_adamantina,Mimosa adamantina Barneby,X,0.5,JF694255,Simon et al. (2011),1,0
Mimosa_adenantheroides_AMB945,Mimosa_adenantheroides,Mimosa adenantheroides (M.Martens & Galeotti) Benth.,B,0.75,FJ981982,Simon et al. (2009),0,1
Mimosa_adenantheroides_hystricosa_PT21201,Mimosa_adenantheroides_hystricosa,Mimosa adenantheroides (M.Martens & Galeotti) Benth.,B,0.75,FJ981983,Simon et al. (2009),0,1
Mimosa_adenocarpa_MFS728,Mimosa_adenocarpa,Mimosa adenocarpa Benth.,L,0.62,FJ981984,Simon et al. (2009),1,1
Mimosa_adenophylla_adenophylla_JSS1188,Mimosa_adenophylla_adenophylla,Mimosa adenophylla Taub.,N,1,MT459469,Vasconcelos et al. (2020),1,1
Mimosa_adenophylla_adenophylla_JSS988,x,(double entry),(double entry),(double entry),MT459470,Vasconcelos et al. (2020),(double entry),(double entry)
Mimosa_adenophylla_MFS458,x,(double entry),(double entry),(double entry),FJ981985,Simon et al. (2009),(double entry),(double entry)
Mimosa_adenophylla_mitis_LLCL184,Mimosa_adenophylla_mitis,Mimosa adenophylla Taub.,N,1,FJ981986,Simon et al. (2009),0,1
Mimosa_adenotricha_LMB668,Mimosa_adenotricha,Mimosa adenotricha Benth.,O,1,MT459471,Vasconcelos et al. (2020),1,0
Mimosa_adenotricha_LMB671,x,(double entry),(double entry),(double entry),MT459472,Vasconcelos et al. (2020),(double entry),(double entry)
Mimosa_adenotricha_VFD332,x,(double entry),(double entry),(double entry),FJ981987,Simon et al. (2009),(double entry),(double entry)
Mimosa_adpressa_Uruguay5,Mimosa_adpressa,Mimosa obstrigosa Burkart,X,0.5,MT459473,Vasconcelos et al. (2020),0,1
Mimosa_aff._aguapeia_LMB767,x,(double entry),(double entry),(double entry),MT459474,Vasconcelos et al. (2020),(double entry),(double entry)
Mimosa_aff._bathyrrhena_MFS874,x,(double entry),(double entry),(double entry),FJ981988,Simon et al. (2009),(double entry),(double entry)
Mimosa_aff._bispiculata_LMB663,Mimosa_bispiculata,Mimosa bispiculata Barneby,O,1,MT459475,Vasconcelos et al. (2020),1,0
Mimosa_aff._dalyi_JRIW24309,x,(double entry),(double entry),(double entry),JF694256,Simon et al. (2011),(double entry),(double entry)
Mimosa_aff._debilis_JRIW24509,x,(double entry),(double entry),(double entry),KJ802902,Atahuachi et al. (2016),(double entry),(double entry)
Mimosa_aff._debilis_MFS2138,x,(double entry),(double entry),(double entry),MT459476,Vasconcelos et al. (2020),(double entry),(double entry)
Mimosa_aff._flagellaris_LPQ12322,x,(double entry),(double entry),(double entry),FJ981989,Simon et al. (2009),(double entry),(double entry)
Mimosa_aff._nuda_JRIW_26735,x,(double entry),(double entry),(double entry),KJ802909,Atahuachi et al. (2016),(double entry),(double entry)
Mimosa_aff._nuda_MFS_2313,x,(double entry),(double entry),(double entry),MT459477,Vasconcelos et al. (2020),(double entry),(double entry)
Mimosa_aff._pseudofoliolosa_JBB924,x,(double entry),(double entry),(double entry),MT459478,Vasconcelos et al. (2020),(double entry),(double entry)
Mimosa_aff._weberbauerii_TDP17903,x,(double entry),(double entry),(double entry),FJ981990,Simon et al. (2009),(double entry),(double entry)
Mimosa_aff._xanthocentra_LPQ10476,x,(double entry),(double entry),(double entry),FJ981991,Simon et al. (2009),(double entry),(double entry)
Mimosa_aff_pseudofoliolosa_JBB942,x,(double entry),(double entry),(double entry),MT459479,Vasconcelos et al. (2020),(double entry),(double entry)
Mimosa_affinis_MFS814,Mimosa_affinis,Mimosa affinis Robinson,P,1,FJ981992,Simon et al. (2009),0,1
Mimosa_aguapeia_MFS2326,Mimosa_aguapeia,Mimosa aguapeia Barneby,Y,0.83,MT459480,Vasconcelos et al. (2020),0,1
Mimosa_albida_albida_CEH2083,Mimosa_albida_albida,Mimosa albida Willd.,T,0.78,FJ981993,Simon et al. (2009),0,1
Mimosa_albolanata_brasiliana_LMB488,Mimosa_albolanata_brasiliana,Mimosa albolanata Taub.,O,1,MT459481,Vasconcelos et al. (2020),1,0
Mimosa_albolanata_LMB1006,x,(double entry),(double entry),(double entry),MT459482,Vasconcelos et al. (2020),(double entry),(double entry)
Mimosa_albolanata_MFS667,Mimosa_albolanata,Mimosa albolanata Taub.,O,1,FJ981994,Simon et al. (2009),0,1
Mimosa_albolanata_paucipinna_LMB521,Mimosa_albolanata_paucipinna,Mimosa albolanata Taub.,O,1,MT459483,Vasconcelos et al. (2020),1,1
Mimosa_amnis_atri_JSS976,x,(double entry),(double entry),(double entry),MT459484,Vasconcelos et al. (2020),(double entry),(double entry)
Mimosa_amnis_atri_JSS977,Mimosa_amnis_atri,Mimosa amnis-atri Barneby,N,1,MT459485,Vasconcelos et al. (2020),0,1
Mimosa_andina_GPL2271,Mimosa_andina,Mimosa andina Benth.,B,0.75,HM353071,Sarkinen et al. (2011),0,1
Mimosa_andina_GPL2288,x,(double entry),(double entry),(double entry),HM353072,Sarkinen et al. (2011),(double entry),(double entry)
Mimosa_antioquensis_isthmensis_MFS860,Mimosa_antioquensis_isthmensis,Mimosa antioquensis Rudd,F,0.5,FJ981995,Simon et al. (2009),0,1
Mimosa_antrorsa_CWF1774,Mimosa_antrorsa,Mimosa antrorsa Benth.,O,1,FJ981996,Simon et al. (2009),1,0
Mimosa_antrorsa_LMB950,x,(double entry),(double entry),(double entry),MT459486,Vasconcelos et al. (2020),(double entry),(double entry)
Mimosa_apodocarpa_JSS1105,x,(double entry),(double entry),(double entry),MT459487,Vasconcelos et al. (2020),(double entry),(double entry)
Mimosa_apodocarpa_MFS635,Mimosa_apodocarpa,Mimosa apodocarpa Benth.,N,1,FJ981997,Simon et al. (2009),0,1
Mimosa_arenosa_arenosa_JSS987,Mimosa_arenosa_arenosa,Mimosa arenosa (Willd.) Poir.,D,0.58,MT459488,Vasconcelos et al. (2020),1,1
Mimosa_arenosa_leiocarpa_AMB923,Mimosa_arenosa_leiocarpa,Mimosa arenosa (Willd.) Poir.,D,0.58,FJ981998,Simon et al. (2009),0,1
Mimosa_artemisiana_SMF138,Mimosa_artemisiana,Mimosa artemisiana Heringer & Paula,N,1,FJ981999,Simon et al. (2009),0,1
Mimosa_aspera_MFS817,Mimosa_aspera,Mimosa aspera M.E.Jones,B,0.75,FJ982000,Simon et al. (2009),0,1
Mimosa_atlantica_OSR4333,Mimosa_atlantica,Mimosa atlantica Barneby,X,0.5,FJ982001,Simon et al. (2009),0,1
Mimosa_auriculata_CEH2405,Mimosa_auriculata,Mimosa auriculata Benth.,M,1,FJ982002,Simon et al. (2009),0,1
Mimosa_aurivillus_APSC1226,Mimosa_aurivillus,Mimosa aurivillus Mart.,X,0.5,MT459489,Vasconcelos et al. (2020),1,0
Mimosa_aurivillus_aurivillus_APCS996,Mimosa_aurivillus_aurivillus,Mimosa aurivillus Mart.,X,0.5,MT459490,Vasconcelos et al. (2020),1,0
Mimosa_aurivillus_aurivillus_VFD348,x,(double entry),(double entry),(double entry),JF694257,Simon et al. (2011),(double entry),(double entry)
Mimosa_aurivillus_calothamnus_VFD347,Mimosa_aurivillus_calothamnus,Mimosa aurivillus Mart.,X,0.5,JF694258,Simon et al. (2011),1,0
Mimosa_bahamensis_MJW132,Mimosa_bahamensis,Mimosa bahamensis Benth.,B,0.75,FJ982003,Simon et al. (2009),0,1
Mimosa_barretoi_APSC975,Mimosa_barretoi,Mimosa barretoi Hoehne,X,0.5,MT459491,Vasconcelos et al. (2020),0,1
Mimosa_bathyrrhena_APSC1079,Mimosa_bathyrrhena,Mimosa bathyrrhena Barneby,X,0.5,MT459492,Vasconcelos et al. (2020),0,1
Mimosa_benthami_MFS848,Mimosa_benthami,Mimosa benthamii J.F.Macbr.,B,0.75,FJ982004,Simon et al. (2009),0,1
Mimosa_bifurca_ND4,Mimosa_bifurca,Mimosa bifurca Benth.,K,0.47,FJ982005,Simon et al. (2009),0,1
Mimosa_bimucronata_MFS301,Mimosa_bimucronata,Mimosa bimucronata (DC.) Kuntze,D,0.58,FJ982006,Simon et al. (2009),0,1
Mimosa_biuncifera_MFS805,Mimosa_biuncifera,Mimosa aculeaticarpa Ortega,B,0.75,FJ982007,Simon et al. (2009),0,1
Mimosa_blanchetii_MFS688,Mimosa_blanchetii,Mimosa blanchetii Benth.,I,0.77,FJ982008,Simon et al. (2009),1,0
Mimosa_boliviana_CEH2283,Mimosa_boliviana,Mimosa boliviana Benth.,W,1,HM353073,Sarkinen et al. (2011),0,1
Mimosa_boliviana_CEH2426,x,(double entry),(double entry),(double entry),FJ982009,Simon et al. (2009),(double entry),(double entry)
Mimosa_boliviana_JRIW15184,x,(double entry),(double entry),(double entry),HM353076,Sarkinen et al. (2011),(double entry),(double entry)
Mimosa_boliviana_JRIW19036,x,(double entry),(double entry),(double entry),HM353075,Sarkinen et al. (2011),(double entry),(double entry)
Mimosa_boliviana_TS2056,x,(double entry),(double entry),(double entry),HM353074,Sarkinen et al. (2011),(double entry),(double entry)
Mimosa_borealis_MFS873,Mimosa_borealis,Mimosa borealis A.Gray,B,0.75,FJ982010,Simon et al. (2009),0,1
Mimosa_brachycarpa_LPQ10589,Mimosa_brachycarpa,Mimosa brachycarpa Benth.,L,0.62,FJ982011,Simon et al. (2009),1,1
Mimosa_brevipetiolata_hirtula_LPQ12614,Mimosa_brevipetiolata_hirtula,Mimosa brevipetiolata Burkart,U,0.18,FJ982012,Simon et al. (2009),0,1
Mimosa_busseana_GPC26,Mimosa_busseana,Mimosa busseana Harms,D,0.58,FJ982013,Simon et al. (2009),0,1
Mimosa_caduca_GPL2376,Mimosa_caduca,Mimosa caduca Poir.,B,0.75,HM353078,Sarkinen et al. (2011),0,1
Mimosa_caduca_GPL2916,x,(double entry),(double entry),(double entry),HM353079,Sarkinen et al. (2011),(double entry),(double entry)
Mimosa_caduca_GPL2990,x,(double entry),(double entry),(double entry),HM353077,Sarkinen et al. (2011),(double entry),(double entry)
Mimosa_caduca_GPL3006,x,(double entry),(double entry),(double entry),HM353080,Sarkinen et al. (2011),(double entry),(double entry)
Mimosa_caerulea_EKJ330,Mimosa_caerulea,Mimosa caerulea Rose,V,0.92,MT459493,Vasconcelos et al. (2020),0,1
Mimosa_caesalpiniifolia_JSS832,x,(double entry),(double entry),(double entry),MT459494,Vasconcelos et al. (2020),(double entry),(double entry)
Mimosa_caesalpiniifolia_MFS756,Mimosa_caesalpiniifolia,Mimosa caesalpiniifolia Benth.,D,0.58,FJ982014,Simon et al. (2009),0,1
Mimosa_calcicola_MFS846,Mimosa_calcicola,Mimosa calcicola Robinson,B,0.75,FJ982015,Simon et al. (2009),0,1
Mimosa_caliciadenia_LMB443,Mimosa_caliciadenia,Mimosa caliciadenia Barneby,O,1,MT459495,Vasconcelos et al. (2020),1,0
Mimosa_callidryas_JMC94,Mimosa_callidryas,Mimosa callidryas Barneby,X,0.5,FJ982016,Simon et al. (2009),0,1
Mimosa_callithrix_MFS684,Mimosa_callithrix,Mimosa callithrix Malme,R,0.59,FJ982017,Simon et al. (2009),0,1
Mimosa_calothamnos_APSC1211,x,(double entry),(double entry),(double entry),MT459496,Vasconcelos et al. (2020),(double entry),(double entry)
Mimosa_calothamnos_APSC1216,Mimosa_calothamnos,Mimosa calothamnos Mart. ex Benth.,X,0.5,MT459497,Vasconcelos et al. (2020),1,0
Mimosa_campicola_planipes_MFS692,Mimosa_campicola_planipes,Mimosa campicola Harms,H,0.41,FJ982018,Simon et al. (2009),1,0
Mimosa_camporum_SMF729,Mimosa_camporum,Mimosa camporum Benth.,M,1,FJ982019,Simon et al. (2009),0,1
Mimosa_candollei_CEH2394,Mimosa_candollei,Mimosa quadrivalvis (DC.) Barneby,G,0.35,FJ982020,Simon et al. (2009),1,1
Mimosa_sp._APSC1213,Mimosa_caracensis,Mimosa sp. ,X,0.5,MT459498,Vasconcelos et al. (2020),1,0
Mimosa_casta_CDJ2189,Mimosa_casta,Mimosa casta L.,T,0.78,FJ982021,Simon et al. (2009),0,1
Mimosa_ceratonia_ceratonia_JG3223,Mimosa_ceratonia_ceratonia,Mimosa ceratonia L.,D,0.58,JF694259,Simon et al. (2011),1,1
Mimosa_ceratonia_interior_MFS727,Mimosa_ceratonia_interior,Mimosa ceratonia L.,D,0.58,FJ982022,Simon et al. (2009),1,0
Mimosa_cf._incarum_RTP1715,x,(double entry),(double entry),(double entry),HM353081,Sarkinen et al. (2011),(double entry),(double entry)
Mimosa_cf._polycarpa_redundans_RJE89,x,(double entry),(double entry),(double entry),HM353082,Sarkinen et al. (2011),(double entry),(double entry)
Mimosa_cf._polycarpa_redundans_RTP1642,x,(double entry),(double entry),(double entry),HM353083,Sarkinen et al. (2011),(double entry),(double entry)
Mimosa_cf._weberbaueri_RTP17821,x,(double entry),(double entry),(double entry),HM353085,Sarkinen et al. (2011),(double entry),(double entry)
Mimosa_chartostegia_OSR5085,Mimosa_chartostegia,Mimosa chartostegia Barneby,X,0.5,FJ982023,Simon et al. (2009),0,1
Mimosa_chiliomera_LMB648,Mimosa_chiliomera,Mimosa chiliomera Barneby,O,1,MT459499,Vasconcelos et al. (2020),1,0
Mimosa_chiquitanensis_JRIW18818,x,(double entry),(double entry),(double entry),KJ802903,Atahuachi et al. (2016),(double entry),(double entry)
Mimosa_chiquitaniensis_JRIW23707,Mimosa_chiquitaniensis,Mimosa chiquitaniensis Atahuachi & C.E.Hughes,AA,1,KJ802904,Atahuachi et al. (2016),0,1
Mimosa_chochisensis_JRIW26504,x,(double entry),(double entry),(double entry),KJ802905,Atahuachi et al. (2016),(double entry),(double entry)
Mimosa_chochisensis_JRIW26515,Mimosa_chochisensis,Mimosa chochisensis Atahuachi & C.E.Hughes,S,1,KJ802906,Atahuachi et al. (2016),0,1
Mimosa_chrysastra_APSC1227,Mimosa_chrysastra,Mimosa chrysastra Benth.,X,0.5,MT459500,Vasconcelos et al. (2020),1,0
Mimosa_chrysothrix_MFS1924,Mimosa_chrysothrix,Mimosa chrysothrix V.F.Dutra & F.C.P.Garcia,R,0.59,MT459501,Vasconcelos et al. (2020),1,0
Mimosa_cisparanensis_MFS568,Mimosa_cisparanensis,Mimosa cisparanensis Barneby,M,1,FJ982024,Simon et al. (2009),0,1
Mimosa_claussenii_claviceps_MFS766,Mimosa_claussenii_claviceps,Mimosa claussenii Benth.,O,1,FJ982025,Simon et al. (2009),1,0
Mimosa_claussenii_LMB584,Mimosa_claussenii,Mimosa claussenii Benth.,O,1,MT459502,Vasconcelos et al. (2020),1,1
Mimosa_claussenii_LMB908,x,(double entry),(double entry),(double entry),MT459503,Vasconcelos et al. (2020),(double entry),(double entry)
Mimosa_claussenii_megistophylla_MFS768,Mimosa_claussenii_megistophylla,Mimosa claussenii Benth.,O,1,FJ982026,Simon et al. (2009),1,0
Mimosa_claussenii_microphyllidia_LMB905,Mimosa_claussenii_microphyllidia,Mimosa claussenii Benth.,O,1,MT459504,Vasconcelos et al. (2020),1,0
Mimosa_claussenii_prorsiseta_LMB563,Mimosa_claussenii_prorsiseta,Mimosa claussenii Benth.,O,1,MT459505,Vasconcelos et al. (2020),1,0
Mimosa_colombiana_AMT21343,Mimosa_colombiana,Mimosa colombiana Britton & Killip,A,0.73,FJ982027,Simon et al. (2009),0,1
Mimosa_coniflora_OSR3060,Mimosa_coniflora,Mimosa coniflora Burkart,X,0.5,FJ982028,Simon et al. (2009),0,1
Mimosa_cordistipula_MFS693,Mimosa_cordistipula,Mimosa cordistipula Benth.,I,0.77,FJ982029,Simon et al. (2009),1,0
Mimosa_coruscocaesia_JSS1186,x,(double entry),(double entry),(double entry),MT459506,Vasconcelos et al. (2020),(double entry),(double entry)
Mimosa_coruscocaesia_JSS1191,x,(double entry),(double entry),(double entry),MT459507,Vasconcelos et al. (2020),(double entry),(double entry)
Mimosa_coruscocaesia_RCM469,Mimosa_coruscocaesia,Mimosa coruscocaesia Barneby,N,1,FJ982030,Simon et al. (2009),0,1
Mimosa_corynadenia_MS12896,Mimosa_corynadenia,Mimosa corynadenia Britton & Rose,OO,1,FJ982031,Simon et al. (2009),0,1
Mimosa_costenya_MFS833,Mimosa_costenya,Mimosa costenya McVaugh,B,0.75,FJ982032,Simon et al. (2009),0,1
Mimosa_craspedisetosa_JRIW24488,Mimosa_craspedisetosa,Mimosa craspedisetosa Fortunato & Palese,N,1,JF694260,Simon et al. (2011),0,1
Mimosa_crassipes_APCS1222,Mimosa_crassipes,Mimosa pilulifera Benth.,X,0.5,MT459508,Vasconcelos et al. (2020),0,1
Mimosa_cruenta_LPQ12575,Mimosa_cruenta,Mimosa cruenta Benth.,K,0.47,FJ982033,Simon et al. (2009),0,1
Mimosa_crumenarioides_MFS722,Mimosa_crumenarioides,Mimosa crumenarioides L.P.Queiroz & G.P.Lewis,H,0.41,FJ982034,Simon et al. (2009),1,0
Mimosa_cryptothamnos_MFS738,Mimosa_cryptothamnos,Mimosa cryptothamnos Barneby,O,1,FJ982035,Simon et al. (2009),1,0
Mimosa_ctenodes_CEH2212,Mimosa_ctenodes,Mimosa ctenodes Barneby,W,1,FJ982036,Simon et al. (2009),0,1
Mimosa_cuiabensis_MFS2314,Mimosa_cuiabensis,Mimosa cuiabensis L.Rico & R.Grether,H,0.41,MT459509,Vasconcelos et al. (2020),0,1
Mimosa_cyclophylla_MFS757,Mimosa_cyclophylla,Mimosa cyclophylla Taub.,R,0.59,FJ982037,Simon et al. (2009),1,0
Mimosa_daleoides_APSC1080,Mimosa_daleoides,Mimosa daleoides Benth.,X,0.5,MT459510,Vasconcelos et al. (2020),0,1
Mimosa_daleoides_AS35683,x,(double entry),(double entry),(double entry),FJ982038,Simon et al. (2009),(double entry),(double entry)
Mimosa_dalyi_JRIW16487,Mimosa_dalyi,Mimosa dalyi Barneby,N,1,FJ982039,Simon et al. (2009),0,1
Mimosa_deamii_AMB919,Mimosa_deamii,Mimosa deamii Robinson,V,0.92,FJ982040,Simon et al. (2009),0,1
Mimosa_debilis_debilis_CEH2393,Mimosa_debilis_debilis,Mimosa debilis Willd.,T,0.78,FJ982041,Simon et al. (2009),1,1
Mimosa_decorticans_MFS681,Mimosa_decorticans,Mimosa decorticans Barneby,O,1,FJ982042,Simon et al. (2009),1,1
Mimosa_delicatula_JMS262,Mimosa_delicatula,Mimosa delicatula Baill.,D,0.58,FJ982043,Simon et al. (2009),0,1
Mimosa_densa_alligantina_LMB615,Mimosa_densa_alligantina,Mimosa densa Benth.,O,1,MT459511,Vasconcelos et al. (2020),1,0
Mimosa_densa_densa_MFS870,Mimosa_densa_densa,Mimosa densa Benth.,O,1,FJ982044,Simon et al. (2009),1,0
Mimosa_depauperata_MFS801,Mimosa_depauperata,Mimosa depauperata Benth.,B,0.75,FJ982045,Simon et al. (2009),0,1
Mimosa_detinens_SANCHEZ46,Mimosa_detinens,Mimosa detinens Benth.,B,0.75,FJ982046,Simon et al. (2009),0,1
Mimosa_dicerastes_MFS448,Mimosa_dicerastes,Mimosa dicerastes Barneby,R,0.59,FJ982047,Simon et al. (2009),1,0
Mimosa_dichroa_JSS1104,x,(double entry),(double entry),(double entry),MT459512,Vasconcelos et al. (2020),(double entry),(double entry)
Mimosa_dichroa_MLF6159,Mimosa_dichroa,Mimosa dichroa Barneby ex G.P.Lewis,B,0.75,MT459513,Vasconcelos et al. (2020),0,1
Mimosa_diminuta_LMB939,x,(double entry),(double entry),(double entry),MT459514,Vasconcelos et al. (2020),(double entry),(double entry)
Mimosa_diminuta_MFS866A,Mimosa_diminuta,Mimosa diminuta Marc.F.Simon & C.E.Hughes,O,1,FJ982101,Simon et al. (2009),1,0
Mimosa_diplotricha_diplotricha_MFS600,x,(double entry),(double entry),(double entry),FJ982050,Simon et al. (2009),(double entry),(double entry)
Mimosa_diplotricha_diplotricha_MFS877,Mimosa_diplotricha_diplotricha,Mimosa diplotricha Sauvalle,H,0.41,FJ982049,Simon et al. (2009),1,1
Mimosa_discobola_MFS744,Mimosa_discobola,Mimosa discobola Barneby,R,0.59,FJ982051,Simon et al. (2009),1,1
Mimosa_distachya_oligacantha_FK365,Mimosa_distachya_oligacantha,Mimosa distachya Cav.,B,0.75,FJ982052,Simon et al. (2009),0,1
Mimosa_dolens_dolens_VFD352,Mimosa_dolens_dolens,Mimosa dolens Vell.,X,0.5,JF694261,Simon et al. (2011),1,0
Mimosa_dolens_rigida_MFS879,Mimosa_dolens_rigida,Mimosa dolens Vell.,X,0.5,FJ982053,Simon et al. (2009),1,1
Mimosa_dominarum_MFS776,Mimosa_dominarum,Mimosa dominarum Barneby,O,1,FJ982054,Simon et al. (2009),1,0
Mimosa_dominguensis_RCB18276,Mimosa_dominguensis,Mimosa domingensis (DC.) Benth.,B,0.75,FJ982055,Simon et al. (2009),0,1
Mimosa_dormiens_MAG6841,Mimosa_dormiens,Mimosa dormiens Willd.,J,0.6,FJ982056,Simon et al. (2009),0,1
Mimosa_dryandroides_extratropica_OSR3449,Mimosa_dryandroides_extratropica,Mimosa dryandroides Taub.,X,0.5,FJ982057,Simon et al. (2009),0,1
Mimosa_dutrae_JRVI680,Mimosa_dutrae,Mimosa dutrae Malme,X,0.5,MT459515,Vasconcelos et al. (2020),0,1
Mimosa_dutrae_ND5,x,(double entry),(double entry),(double entry),FJ982058,Simon et al. (2009),(double entry),(double entry)
Mimosa_dysocarpa_DLP880026,x,(double entry),(double entry),(double entry),MT459516,Vasconcelos et al. (2020),(double entry),(double entry)
Mimosa_dysocarpa_MN296,Mimosa_dysocarpa,Mimosa dysocarpa A.Gray,B,0.75,FJ982059,Simon et al. (2009),0,1
Mimosa_echinocaula_MFS679,Mimosa_echinocaula,Mimosa echinocaula Benth.,H,0.41,FJ982060,Simon et al. (2009),1,0
Mimosa_elliptica_SMF2624,Mimosa_elliptica,Mimosa elliptica Benth.,J,0.6,MT459517,Vasconcelos et al. (2020),0,1
Mimosa_emoryana_RG2842,Mimosa_emoryana,Mimosa emoryana Benth.,B,0.75,FJ982061,Simon et al. (2009),0,1
Mimosa_ephedroides_DLP910487,Mimosa_ephedroides,Mimosa ephedroides Benth.,B,0.75,MT459518,Vasconcelos et al. (2020),0,1
Mimosa_ervendbergii_EM35132,Mimosa_ervendbergii,Mimosa ervendbergii A.Gray,B,0.75,FJ982062,Simon et al. (2009),0,1
Mimosa_fachinalensis_JRVI693,x,(double entry),(double entry),(double entry),MT459519,Vasconcelos et al. (2020),(double entry),(double entry)
Mimosa_fachinalensis_ND16,Mimosa_fachinalensis,Mimosa fachinalensis Burkart,X,0.5,FJ982063,Simon et al. (2009),0,1
Mimosa_fachinalensis_ND20,x,(double entry),(double entry),(double entry),FJ982064,Simon et al. (2009),(double entry),(double entry)
Mimosa_farinosa_JRIW21535,Mimosa_farinosa,Mimosa farinosa Griseb.,D,0.58,HM353086,Sarkinen et al. (2011),0,1
Mimosa_craspedisetosa_RRS390,Mimosa_craspedisetosa,Mimosa craspedisetosa Fortunato & Palese,N,1,MT459520,Vasconcelos et al. (2020),0,1
Mimosa_fiebrigii_JSS912,x,(double entry),(double entry),(double entry),MT459521,Vasconcelos et al. (2020),(double entry),(double entry)
Mimosa_fiebrigii_JSS913,Mimosa_fiebrigii,Mimosa fiebrigii Hassl.,N,1,MT459522,Vasconcelos et al. (2020),0,1
